"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ly6c2",2.75326155930617e-18,0.653106267982862,0.749,0.612,4.73285662044731e-14
"Isg15",2.09423239442928e-34,0.643734959543655,0.85,0.698,3.59998548602394e-30
"Irf7",2.33265126561183e-44,0.629868944337573,0.872,0.68,4.00982752558674e-40
"Ifi27l2a",1.69993029836814e-42,0.566973656200624,0.964,0.869,2.92218018289483e-38
"Rtp4",4.66515972739299e-28,0.450011356929401,0.833,0.648,8.01940957138856e-24
"Ms4a4c",2.16093418630235e-24,0.444137053360222,0.885,0.806,3.71464586625375e-20
"H2-Q7",1.0532482645368e-15,0.434863946638704,0.627,0.481,1.81053376673876e-11
"Ly6a",4.58275097160567e-17,0.421218070580986,0.85,0.745,7.87774892019015e-13
"Bst2",1.00502162689778e-26,0.421084593410261,0.908,0.818,1.72763217663729e-22
"Zbp1",3.32207780913361e-26,0.384945427043697,0.951,0.887,5.71065175390068e-22
"Ifit3",3.02954736425217e-11,0.3817587665667,0.344,0.189,5.20779191914948e-07
"Cd72",1.9617254564668e-08,0.374478652859316,0.43,0.318,0.000337220605966642
"Klrk1",6.93313875065779e-14,0.364783874606453,0.462,0.307,1.19180655123807e-09
"Ccl5",1.98454348860073e-07,0.348451153836176,0.431,0.32,0.00341143025690465
"Isg20",1.33389522966987e-12,0.34722273599286,0.318,0.164,2.29296589980251e-08
"Ifit2",9.40728589072677e-10,0.345018832073983,0.269,0.143,1.61711244461593e-05
"Gm10116",7.51198827835241e-23,0.343468137526868,0.917,0.904,1.29131078504878e-18
"H2-T22",1.08088137891757e-18,0.339987123607536,0.826,0.705,1.8580350903593e-14
"Fam26f",3.86482673044743e-12,0.335092859052714,0.656,0.516,6.64363714963913e-08
"Ly6i",8.33535494146225e-05,0.333790221001946,0.382,0.302,1
"Cxcl9",7.11142831162579e-07,0.331885594132493,0.628,0.526,0.0122245452676847
"Fabp5",0.012440192518167,0.330268492549515,0.759,0.706,1
"Phf11b",3.23290075982803e-13,0.316521171826624,0.648,0.499,5.55735640614439e-09
"Aif1",1.66891238443879e-17,0.315792554553715,0.947,0.927,2.86886038885028e-13
"Cxcl10",0.000132192668632335,0.307977254605627,0.588,0.499,1
"Ubb",5.54120454856484e-27,0.301423140001774,0.992,0.992,9.52533061898296e-23
"Mndal",7.78860805375184e-11,0.300489803516141,0.672,0.542,1.33886172443994e-06
"Cdkn1a",1.49254379498616e-09,0.300298815185982,0.901,0.859,2.56568278358121e-05
"Phf11d",2.84941693175147e-11,0.299298435718687,0.405,0.262,4.89814770568078e-07
"H2-Eb1",3.0144476500669e-11,0.298367868027279,0.877,0.774,5.18183551046499e-07
