"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.32265527314172,0.843,0.285,0,"TAM","Pf4"
"2",0,2.23834313138714,0.912,0.618,0,"TAM","Apoe"
"3",0,2.23197673239449,0.863,0.461,0,"TAM","Sepp1"
"4",0,1.7624586120896,0.869,0.499,0,"TAM","Ccl8"
"5",0,1.72886316254658,0.977,0.704,0,"TAM","Wfdc17"
"6",0,1.68269701744823,0.888,0.364,0,"TAM","Hmox1"
"7",0,1.68104688461075,0.802,0.245,0,"TAM","Timp2"
"8",0,1.6338628920715,0.843,0.336,0,"TAM","Ctsl"
"9",3.43847123351626e-215,1.74865615333446,0.403,0.096,5.91073205041444e-211,"TAM","Arg1"
"10",6.1857464610033e-171,2.31352531631808,0.324,0.072,1.06332981664647e-166,"TAM","Saa3"
"11",0,1.52570732284589,0.731,0.28,0,"Monocyte","Il1b"
"12",0,1.14865503428472,0.856,0.374,0,"Monocyte","Ms4a4c"
"13",0,1.07689360295976,0.8,0.256,0,"Monocyte","Ccr2"
"14",1.379528294673e-262,0.983081804253419,0.855,0.505,2.37140913854289e-258,"Monocyte","H2-DMb1"
"15",3.08658267866927e-246,1.19883423936489,0.699,0.294,5.30583562463248e-242,"Monocyte","Ly6c2"
"16",6.78215020505731e-242,1.35081250077144,0.91,0.661,1.16585162024935e-237,"Monocyte","Plac8"
"17",2.5717162656731e-189,1.01289540137231,0.75,0.451,4.42078026069206e-185,"Monocyte","Gbp2"
"18",9.57257091130055e-180,1.12011977191311,0.329,0.069,1.64552493965256e-175,"Monocyte","Chil3"
"19",5.55502127023523e-153,1.56011665127789,0.555,0.261,9.54908156353436e-149,"Monocyte","Cxcl10"
"20",1.11261759684778e-150,1.11203138114956,0.59,0.292,1.91258964898133e-146,"Monocyte","Cxcl9"
"21",8.47550881805813e-298,2.19372479805728,0.986,0.094,1.45693996582419e-293,"cDC1","Cd24a"
"22",1.57218531772e-91,2.37517757959803,1,0.969,2.70258656116068e-87,"cDC1","Cst3"
"23",5.98977096640656e-83,1.44383385746339,0.986,0.508,1.02964162912529e-78,"cDC1","Naaa"
"24",9.95931252245185e-82,1.61803242457114,0.993,0.767,1.71200582260947e-77,"cDC1","Irf8"
"25",1.96792366203918e-76,1.26684593596939,0.986,0.497,3.38286077504534e-72,"cDC1","Plbd1"
"26",5.87236026881495e-73,1.29043480758846,0.946,0.507,1.00945873020929e-68,"cDC1","Ppt1"
"27",6.28236410709688e-66,1.36972967410416,1,0.711,1.07993839000995e-61,"cDC1","H2-Aa"
"28",1.28278196407327e-63,1.29986316166716,1,0.797,2.20510219624195e-59,"cDC1","Cd74"
"29",1.42948915522961e-62,1.35954190983293,1,0.66,2.45729185783969e-58,"cDC1","H2-Eb1"
"30",6.08692120709384e-62,1.33944979817931,1,0.766,1.04634175549943e-57,"cDC1","H2-Ab1"
"31",0,2.18508634101462,0.625,0.027,0,"cDC2","Cd209a"
"32",3.90681220409431e-269,1.33884109080892,0.703,0.085,6.71581017883812e-265,"cDC2","H2-DMb2"
"33",4.0301940667226e-202,1.62313607892973,0.963,0.287,6.92790360069614e-198,"cDC2","Napsa"
"34",1.10560458448127e-168,2.56453110643439,0.618,0.108,1.9005342807233e-164,"cDC2","Ifitm1"
"35",2.25153494489154e-137,1.28012023573399,0.99,0.534,3.87038857026856e-133,"cDC2","Lsp1"
"36",3.68450782880107e-132,1.34967884240116,0.966,0.63,6.33366895770904e-128,"cDC2","Syngr2"
"37",6.23641532600272e-121,1.43831872045702,0.99,0.793,1.07203979453987e-116,"cDC2","Cd74"
"38",6.52025742074384e-112,1.47172118596531,0.973,0.706,1.12083225062587e-107,"cDC2","H2-Aa"
"39",2.43955363084131e-103,1.41158017723653,0.976,0.762,4.19359269141621e-99,"cDC2","H2-Ab1"
"40",4.84190026784724e-98,1.40670375149591,0.946,0.655,8.32322656042941e-94,"cDC2","H2-Eb1"
"41",0,3.10716690079274,0.897,0.006,0,"pDC","Ly6d"
"42",0,2.97639930224812,0.846,0.002,0,"pDC","Klk1"
"43",0,2.7105748684798,1,0.004,0,"pDC","Siglech"
"44",0,2.42525103678851,1,0.004,0,"pDC","Ccr9"
"45",0,2.12826689739767,0.949,0.015,0,"pDC","Smim5"
"46",9.94903591932439e-121,2.13879885405123,0.897,0.055,1.71023927453186e-116,"pDC","Cox6a2"
"47",3.04655144054163e-65,2.31523476323614,1,0.145,5.23702192629107e-61,"pDC","Rnase6"
"48",5.06267028345049e-37,2.52526115207382,1,0.338,8.7027302172514e-33,"pDC","Dnajc7"
"49",1.72297090653891e-26,2.191225755724,1,0.771,2.96178698834038e-22,"pDC","Irf8"
"50",3.02261753149413e-26,2.14973735900032,1,0.847,5.19587953663841e-22,"pDC","Bst2"
"51",0,3.15878884272831,0.992,0.045,0,"Migratory DC","Ccr7"
"52",0,3.1224509017361,0.916,0.011,0,"Migratory DC","Fscn1"
"53",0,2.62240959814205,0.786,0.015,0,"Migratory DC","Ccl22"
