"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.23376502140229,0.886,0.324,0,"0","Lpl"
"2",0,1.08479910976865,0.988,0.622,0,"0","C1qc"
"3",0,1.07549768955464,0.931,0.395,0,"0","Ms4a7"
"4",0,1.06572564038144,0.929,0.406,0,"0","Fcgr4"
"5",0,1.0069620787926,0.987,0.613,0,"0","C1qa"
"6",0,0.996471108143526,0.735,0.211,0,"0","Cd72"
"7",0,0.959205058546911,0.99,0.683,0,"0","C1qb"
"8",0,0.936675549233817,0.717,0.172,0,"0","Slamf9"
"9",1.0094611985058e-289,0.847374896926083,0.988,0.88,1.73526380023147e-285,"0","Pycard"
"10",6.63237982420622e-114,0.906282519112978,0.863,0.717,1.14010609178105e-109,"0","Atp1b3"
"11",0,1.76438455707196,0.776,0.283,0,"1","Il1b"
"12",0,1.67021805410168,0.935,0.641,0,"1","Plac8"
"13",0,1.48184886545647,0.745,0.271,0,"1","Ly6c2"
"14",0,1.28626999120139,0.86,0.342,0,"1","Ms4a4c"
"15",0,1.2414034163227,0.827,0.235,0,"1","Ccr2"
"16",0,1.1528328981658,0.994,0.848,0,"1","Lyz2"
"17",4.84894286483437e-235,1.12012211060374,0.79,0.451,8.33533278465028e-231,"1","Isg15"
"18",3.11613048687857e-227,1.32021269637059,0.354,0.067,5.35662830694427e-223,"1","Chil3"
"19",5.18095694121968e-205,1.13702348197957,0.737,0.418,8.90606498195662e-201,"1","Gbp2"
"20",8.60168040465111e-126,1.64910179167342,0.545,0.298,1.47862886155953e-121,"1","Cxcl10"
"21",0,2.82652795917226,0.987,0.149,0,"2","Nkg7"
"22",0,2.79480079597409,0.892,0.099,0,"2","Gzmb"
"23",0,2.71164602414429,0.993,0.083,0,"2","Cd3g"
"24",0,2.27097207740441,0.995,0.078,0,"2","Cd3d"
"25",0,2.18921761531879,0.94,0.046,0,"2","Cd8b1"
"26",0,2.13707865274966,0.948,0.421,0,"2","Ccl5"
"27",0,1.95000739236966,0.93,0.04,0,"2","Cd8a"
"28",0,1.91582661593564,0.978,0.087,0,"2","Thy1"
"29",0,1.88822678967392,0.987,0.096,0,"2","Ptprcap"
"30",0,1.75437420697331,0.92,0.084,0,"2","Ms4a4b"
"31",0,2.55611995421015,0.774,0.148,0,"3","Arg1"
"32",0,2.04499702100432,0.468,0.082,0,"3","Mmp12"
"33",0,1.90652025064273,0.931,0.433,0,"3","Hilpda"
"34",0,1.6938526001375,0.92,0.305,0,"3","Clec4d"
"35",2.41700568325036e-298,1.70604873609908,0.905,0.543,4.15483276950737e-294,"3","Ctsl"
"36",1.01554345656416e-291,1.64362407020099,0.939,0.784,1.74571920183379e-287,"3","Fabp5"
"37",9.06302454534482e-237,1.74911005046167,0.87,0.55,1.55793391934477e-232,"3","Cxcl2"
"38",1.24279708525801e-230,2.21039372343877,0.63,0.245,2.13636818955852e-226,"3","Spp1"
"39",7.12869909759733e-191,1.69240206901406,0.822,0.518,1.22542337487698e-186,"3","Pf4"
"40",1.55480172454204e-178,2.14443985239498,0.26,0.04,2.67270416448776e-174,"3","Cxcl3"
"41",0,2.56968526631918,0.994,0.168,0,"4","Dct"
"42",0,2.42296076297787,0.996,0.22,0,"4","Tyrp1"
"43",0,2.22751209248494,0.995,0.215,0,"4","Mlana"
"44",0,2.18400813688554,0.996,0.25,0,"4","Syngr1"
"45",0,2.13168139954222,0.997,0.146,0,"4","Cryab"
"46",0,2.06088496843453,1,0.524,0,"4","Hmgn1"
"47",0,1.88477304065614,0.997,0.313,0,"4","Deb1"
"48",0,1.72971554616463,0.996,0.288,0,"4","Gpnmb"
"49",0,1.66967284501402,0.994,0.204,0,"4","Scd2"
"50",0,1.66833161661811,1,0.738,0,"4","Ube2s"
"51",0,2.86035208605319,0.998,0.625,0,"5","Sepp1"
"52",0,2.66372793004772,0.999,0.769,0,"5","Apoe"
"53",0,2.25864032896335,0.603,0.145,0,"5","Saa3"
"54",0,2.21180619088617,0.399,0.027,0,"5","Cd209f"
"55",0,2.10652419002158,0.997,0.796,0,"5","Wfdc17"
