"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.13836089245652,0.868,0.389,0,"0","Ms4a4c"
"2",1.24216802578964e-301,1.0055817292182,0.987,0.756,2.13528683633239e-297,"0","Cd74"
"3",1.13356611125863e-299,1.06589078302421,0.901,0.507,1.94860014525358e-295,"0","H2-DMb1"
"4",5.69756865963662e-286,1.09844885030313,0.963,0.725,9.79412052591534e-282,"0","H2-Ab1"
"5",6.77806370157298e-246,1.25942496914353,0.716,0.3,1.1651491503004e-241,"0","Il1b"
"6",7.11325530586526e-211,0.996902760614718,0.831,0.491,1.22276858707824e-206,"0","Isg15"
"7",1.11102866781872e-202,0.988326084872051,0.792,0.453,1.90985827998038e-198,"0","Gbp2"
"8",7.45173310783582e-196,1.22947337890826,0.654,0.288,1.28095292123698e-191,"0","Cxcl9"
"9",4.03479420285207e-171,1.04235258281376,0.675,0.315,6.9358112347027e-167,"0","Ly6c2"
"10",8.53755435959035e-128,1.38376707323616,0.559,0.271,1.46760559441358e-123,"0","Cxcl10"
"11",6.33889115548814e-296,1.01510688531613,0.871,0.378,1.08965538962841e-291,"1","Lpl"
"12",1.87225151930919e-290,0.883625995598472,0.716,0.223,3.21840036169251e-286,"1","Slamf9"
"13",3.78821286801943e-286,0.886023176940826,0.992,0.634,6.5119379201254e-282,"1","C1qc"
"14",1.92993011662041e-261,0.834025272951195,0.948,0.452,3.31754987047048e-257,"1","Ms4a7"
"15",4.90308873095331e-258,0.897784812286074,0.727,0.247,8.42840952850875e-254,"1","Cd72"
"16",1.19354387933484e-248,0.742508917396912,0.499,0.11,2.05170192857659e-244,"1","Vcam1"
"17",2.30560180267986e-231,0.847572400121126,0.917,0.484,3.96332949880667e-227,"1","Fcgr4"
"18",1.12556753015129e-228,0.760400098651607,0.988,0.617,1.93485058433006e-224,"1","C1qa"
"19",6.11684324481122e-213,0.725299816574041,0.991,0.684,1.05148535378305e-208,"1","C1qb"
"20",2.29174574984584e-112,0.925793054082442,0.864,0.673,3.939510943985e-108,"1","Atp1b3"
"21",0,2.52729409871824,0.772,0.143,0,"2","Arg1"
"22",0,1.84127944019359,0.926,0.381,0,"2","Hilpda"
"23",0,1.6136914107256,0.921,0.326,0,"2","Clec4d"
"24",0,1.42015196670694,0.948,0.559,0,"2","Hmox1"
"25",1.32103881820915e-303,1.64242334909033,0.917,0.522,2.27086572850153e-299,"2","Ctsl"
"26",8.3119228159441e-296,1.95948592921939,0.447,0.073,1.42881953206079e-291,"2","Mmp12"
"27",1.93555556102913e-288,1.58181980520264,0.933,0.737,3.32722000940907e-284,"2","Fabp5"
